psavert,pop,pce,unemploy
9.6,256894,4204.8,9850
9.7,257232,4220.9,9787
8.7,257548,4255.3,9781
8,257861,4284.7,9398
8,258147,4300.5,9565
10.6,258413,4336.4,9557
8.6,258679,4340.7,9325
8.9,258919,4355.3,9183
8.9,259152,4352.5,9056
8.7,259414,4393.4,9110
8.3,259680,4422.4,9149
7.8,259963,4440,9121
7.6,260255,4468.9,8930
7.7,260566,4481.1,8763
6.9,260867,4511.5,8714
6.3,261163,4532.8,8750
6.3,261425,4554.1,8542
9.1,261674,4571.1,8477
7.1,261919,4585.1,8630
6.5,262123,4632.6,8583
6.8,262352,4646,8470
6.4,262631,4671.1,8331
7.6,262877,4669.5,7915
6.9,263152,4708.9,7927
7,263436,4720.6,7946
6.5,263724,4762.6,7933
6.8,264017,4775,7734
7.1,264301,4812.9,7632
7,264559,4825.6,7375
7.2,264804,4841.6,7230
7.5,265044,4851.2,7375
7.8,265270,4850.8,7187
7.5,265495,4885.4,7153
6.9,265755,4890.2,7645
7.1,265998,4933.1,7430
6.7,266270,4977.5,7427
7.1,266557,4970.2,7527
6.7,266843,5005.3,7484
6.8,267152,5020.5,7478
7.1,267456,5013.9,7328
6.6,267715,5055.6,7426
6.1,267943,5097.5,7423
6.7,268151,5085.7,7491
6.7,268364,5132.8,7313
6.6,268595,5173.3,7318
5.7,268853,5208,7415
6.7,269108,5223.8,7423
7.1,269386,5229.8,7095
6.7,269667,5251.9,7337
6.6,269976,5275,6882
6.7,270284,5296.6,6979
6.4,270581,5328.5,7031
6.4,270878,5351.2,7236
6.4,271125,5378.6,7253
6.2,271360,5411.1,7158
6.2,271585,5434,7102
6.4,271821,5454.2,7000
6.5,272083,5459.3,6873
6.8,272342,5460.2,6655
6.6,272622,5494.2,6799
6.1,272912,5548.8,6655
6,273237,5587,6608
6.2,273553,5601.7,6656
6.2,273852,5637.7,6454
6.4,274126,5661.1,6308
6.4,274372,5692.1,6476
7.4,274626,5689.9,6368
7.4,274838,5723.8,6306
7.5,275047,5750.3,6422
7.2,275304,5788.1,5941
6.9,275564,5837.9,6047
6.8,275836,5871.7,6212
6.9,276115,5890,6259
6.8,276418,5925,6179
6.4,276714,5965.6,6300
6.2,277003,5998.8,6280
6.3,277277,6015.4,6100
5.8,277526,6070.5,6032
6.4,277790,6072.9,5976
6.2,277992,6101.8,6111
5.9,278198,6132.9,5783
5.2,278451,6196.2,6004
4.9,278717,6225.7,5796
4.8,279001,6254,5951
4.8,279295,6281.5,6025
4.7,279602,6326.5,5838
4.2,279903,6378.8,5915
4.6,280203,6402.1,5778
4.8,280471,6437.9,5716
4.4,280716,6538.7,5653
5.4,280976,6535.3,5708
4.8,281190,6619.7,5858
4.5,281409,6685.8,5733
5,281653,6671.1,5481
4.9,281877,6707.6,5758
4.9,282126,6743.9,5651
5.2,282385,6764.1,5747
5.2,282653,6799.1,5853
4.5,282932,6882.9,5625
4.6,283201,6888.2,5534
4.5,283453,6902.4,5639
4.2,283696,6945.7,5634
4.8,283920,6977,6023
4.9,284137,6995.8,6089
5.3,284350,6987.9,6141
5,284581,7001.2,6271
4.5,284810,7047.1,6226
4.5,285062,7060.7,6484
5.6,285309,7072.2,6583
6.8,285570,7108.9,7042
7,285843,7012.8,7142
3.4,286098,7208.4,7694
4.1,286341,7167.9,8003
4.5,286570,7147.7,8258
6.1,286788,7174.3,8182
5.8,286994,7218.3,8215
5.9,287190,7237.2,8304
5.8,287397,7305.4,8599
6.5,287623,7282.7,8399
6.4,287864,7318.2,8393
5.5,288105,7380.4,8390
5.4,288360,7401.5,8304
5.7,288618,7391,8251
5.7,288870,7430.7,8307
5.7,289106,7459.7,8520
5.5,289313,7512.8,8640
5.5,289518,7533.1,8520
5.6,289714,7535.9,8618
5.3,289911,7598.4,8588
5.3,290125,7621,8842
5.8,290346,7628.1,8957
5.6,290584,7678.6,9266
6.3,290820,7738.2,9011
6,291072,7834.5,8896
5.2,291321,7835,8921
5.3,291574,7845.7,8732
5.4,291807,7899.6,8576
5.4,292008,7929.2,8317
5,292192,7987.4,8370
5,292368,8019.8,8167
4.9,292561,8076,8491
5.3,292779,8088.6,8170
5.3,292997,8163.2,8212
5.8,293223,8147.2,8286
5.3,293463,8218.9,8136
5.2,293719,8253.1,7990
4.6,293971,8321.1,7927
4.5,294230,8374.6,8061
4.1,294466,8420.6,7932
6.9,294694,8481.5,7934
3.7,294914,8470.2,7784
3.4,295105,8529.2,7980
3.6,295287,8569.5,7737
3.1,295490,8645.6,7672
3.5,295704,8643.9,7651
2.9,295936,8724.8,7524
2.2,296186,8829.5,7406
2.7,296440,8832.4,7345
2.7,296707,8885.8,7553
3.1,296972,8926.6,7453
3.5,297207,8938.5,7566
3.7,297431,8969.6,7279
4.2,297647,9059.8,7064
4.2,297854,9090.1,7184
4.2,298060,9122.1,7072
4,298281,9174.8,7120
3.8,298496,9215.1,6980
4,298739,9240.8,7001
3.4,298996,9322.6,7175
3.6,299263,9321.8,7091
3.6,299554,9354.7,6847
3.6,299835,9373.2,6727
3.9,300094,9380.2,6872
3.7,300340,9469,6762
3.7,300574,9516.3,7116
4.1,300802,9546.8,6927
4.4,301021,9585.1,6731
4.2,301254,9615.7,6850
4,301483,9651.3,6766
3.8,301739,9667.3,6979
3.7,302004,9709.6,7149
3.4,302267,9753.9,7067
3.5,302546,9797.9,7170
3.4,302807,9827,7237
3.1,303054,9897.8,7240
3.6,303287,9908.4,7645
3.7,303506,9930,7685
4.1,303711,9913.4,7497
4,303907,9959.4,7822
3.4,304117,9996.8,7637
7.8,304323,10053.8,8395
5.5,304556,10107.9,8575
4.4,304798,10104.7,8937
3.8,305045,10094.7,9438
4.7,305309,10043.5,9494
5.5,305554,9960.3,10074
6.4,305786,9820.8,10538
6.4,306004,9730.7,11286
6.2,306208,9783.8,12058
5.5,306402,9766,12898
5.9,306588,9718.5,13426
6.8,306787,9724.8,13853
8.2,306984,9748.9,14499
6.7,307206,9806.9,14707
6,307439,9841.7,14601
4.9,307685,9961,14814
5.9,307946,9883.4,15009
5.4,308189,9931.9,15352
5.9,308418,9940.5,15219
5.9,308633,9998.9,15098
6.1,308833,10001.8,15046
5.8,309027,10030.6,15113
5.7,309212,10089.1,15202
6.4,309191.211,10112.9,15325
7,309369.053,10131,14849
6.9,309548.502,10151.4,14474
6.8,309745.698,10184.7,14512
6.9,309957.775,10228.2,14648
6.7,310176.466,10249,14579
6.6,310399.958,10304.7,14516
6.6,310595.764,10354.7,15081
7.1,310781.705,10392.1,14348
7.4,310960.74,10435.5,14013
7.6,311113.376,10470.1,13820
7,311265.404,10550.5,13737
6.9,311436.238,10587.6,13957
6.9,311607.08,10612,13855
7.2,311791.223,10636.8,13962
7.3,311997.049,10677.5,13763
7.2,312205.367,10700.6,13818
6.8,312429.118,10738.1,13948
6.8,312644.159,10753.1,13594
7,312829.523,10759.5,13302
7.8,313009.712,10772.2,13093
8,313183.179,10862.1,12797
8,313338.977,10953.5,12813
8.5,313499.369,10951.8,12713
8.7,313667.127,10979.7,12646
8.8,313830.53,10968.6,12660
9.1,314017.594,10946.3,12692
8.2,314210.786,10977.2,12656
8,314422.341,11004.1,12471
8.2,314646.749,11061.5,12115
8.8,314853.978,11099.8,12124
9.7,315053.863,11136.8,12005
12,315232.752,11140.5,12298
6.3,315389.595,11202.8,12471
5.8,315520.143,11239.6,11950
5.9,315662.224,11227.1,11689
6.4,315817.855,11205.4,11760
6.7,315983.654,11244.6,11654
6.8,316171.042,11268.8,11751
6.6,316358.778,11296.7,11335
6.7,316580.327,11329.2,11279
6.8,316806.125,11366.9,11270
6.3,317022.27,11419.8,11136
6.2,317228.026,11487.6,10787
6.4,317411.551,11517.9,10404
7.1,317593.923,11512.5,10202
7.3,317753.883,11566.2,10349
7.4,317917.203,11643,10380
7.4,318089.218,11702.6,9702
7.4,318269.505,11748.4,9859
7.4,318464.152,11817,9460
7.5,318662.368,11860.5,9608
7.2,318893.786,11944.3,9599
7.4,319125.296,11957.4,9262
7.2,319353.734,12023,8990
7.3,319564.209,12051.4,9090
7.6,319746.157,12062,8717
7.7,319928.646,12046,8903
7.9,320074.511,12082.4,8610
7.4,320230.786,12158.3,8504
7.6,320402.295,12193.8,8526
