wage,educ
6.349999905,14
5.630000114,16
8.75,14
3.200000048,11
3,8
3,14
12.5,17
2.880000114,10
3.349999905,12
6.5,12
10.38000011,18
4.5,14
10,18
3.809999943,12
8.800000191,16
9.420000076,14
6.329999924,12
4,9
2.900000095,12
20,12
11.25,17
3.5,12
6,15
14.38000011,17
6.360000134,16
3.549999952,12
3,15
4.5,16
6.630000114,12
9.300000191,15
3,12
3.25,12
1.5,12
5.900000095,12
8,16
2.900000095,11
3.289999962,14
6.5,14
4,13
6,14
4.079999924,12
3.75,12
3.049999952,8
3.5,12
2.920000076,3
4.5,11
3.349999905,15
5.949999809,11
8,12
3,4
5,9
5.5,12
2.650000095,12
3,11
4.5,12
17.5,16
8.180000305,13
9.090000153,15
11.81999969,16
3.25,12
4.5,12
4.5,12
3.710000038,9
6.5,10
2.900000095,12
5.599999905,11
2.230000019,8
5,6
8.329999924,16
2.900000095,12
6.25,12
4.550000191,16
3.279999971,12
2.299999952,10
3.299999952,13
3.150000095,13
12.5,14
5.150000095,16
3.130000114,10
7.25,12
2.900000095,12
1.75,11
2.890000105,0
2.900000095,5
17.70999908,16
6.25,16
2.599999905,9
6.630000114,15
3.5,12
6.5,12
3,12
4.380000114,13
10,12
4.949999809,7
9,17
1.429999948,12
3.079999924,12
9.329999924,14
7.5,12
4.75,13
5.650000095,12
15,16
2.269999981,10
4.670000076,15
11.56000042,16
3.5,14
